average_precision;undersampling_majority_class;max_k_undersampling;resample__sampling_strategy;post_process__option;model__max_depth;model__learning_rate;model__min_child_weight;model__subsample;model__colsample_bytree;model__scale_pos_weight;model__objective
0.7983970938615983;False;5;minority;option_1;12;0.10608826659751139;1;0.9645479769469921;0.19942314829444815;6.454734387651143;binary:logistic
0.8738477844180725;False;6;all;option_1;10;0.11290957224574744;10;0.9524944414015443;0.33189615531070804;1.3382720367569672;binary:logistic
0.9435840462156734;True;5;minority;option_3;7;0.09361697814217983;7;0.8309596661232966;0.6836944931536088;0.6054314649802846;binary:logistic
0.9299868913064272;True;5;minority;option_2;15;0.06998530214967091;7;0.8186591294708256;0.2909451825905985;2.551028996643749;binary:logistic
0.8746151799140032;False;5;minority;option_1;11;0.17108666540288572;9;0.868220405677549;0.14173161828282171;2.8088498278000795;binary:logistic
0.9047564120307185;True;5;minority;option_1;6;0.06031187802053637;7;0.9228950147373842;0.6558213769672194;7.282297471214152;binary:logistic
0.8147093651503411;False;5;all;option_1;12;0.08007321801932286;2;0.8216070223755839;0.13331173004483987;4.141721504240381;binary:logistic
0.9405565943083783;False;5;all;option_3;12;0.12247208791438854;10;0.9978488934721916;0.3882341744671196;0.34180179149081086;binary:logistic
0.9514632713201244;False;6;minority;option_3;15;0.24264670342834807;5;0.9682165500284802;0.4178483131425612;3.8829360523706065;binary:logistic
0.9187235992215348;False;6;all;option_2;12;0.07445873006188167;8;0.8708138256454147;0.3460752176301191;0.21259385813935114;binary:logistic
0.859924889786452;False;5;all;option_1;8;0.08131177934985948;6;0.8060858237467415;0.6223657242480487;6.599864215584193;binary:logistic
0.8960149429489211;True;6;minority;option_3;5;0.26035763765123776;7;0.8782652599931996;0.2856264247677137;0.11094512389895654;binary:logistic
0.9257478591690358;True;6;minority;option_2;11;0.26102314215959427;2;0.8747100512382809;0.7581218840391373;5.112603604924282;binary:logistic
0.8703578016433536;False;5;minority;option_1;11;0.12073460976825624;7;0.9601251241700638;0.19324091958041323;0.41046135595323324;binary:logistic
0.8838452870880347;True;6;all;option_1;13;0.2051162429482987;7;0.8814761171783778;0.3277884241869917;1.6246526922276938;binary:logistic
0.9219671838437469;True;5;minority;option_2;14;0.05395277990280616;1;0.9452732628055988;0.21799839640260588;0.10385136221507832;binary:logistic
0.8913838886759604;True;6;minority;option_1;14;0.06761509878659529;8;0.9304596898154563;0.1512246196843798;1.512994340539333;binary:logistic
0.9256034218575023;False;6;minority;option_2;15;0.28655074347362625;10;0.9093886311798781;0.15311840471008006;0.6707019158114909;binary:logistic
0.9302356419065985;True;5;all;option_2;14;0.10602612959347778;8;0.9431894717147125;0.3582402723608342;3.2444339480734334;binary:logistic
0.9149652676882772;False;6;all;option_3;10;0.1627400525469577;10;0.8063913818364143;0.73275603561045;0.3520141451404086;binary:logistic
0.8779320880985506;True;6;minority;option_1;15;0.06549198235230941;6;0.8478876085020155;0.23926243094232016;3.132911465725933;binary:logistic
0.9111859166476372;False;6;minority;option_3;15;0.09689553058571056;4;0.8878801941936716;0.6719162662629313;0.8273318595405746;binary:logistic
0.8938844633616406;False;6;minority;option_1;9;0.12546254574346652;10;0.8120648090047687;0.46729814213336973;0.516693045262748;binary:logistic
0.8965058810756513;True;5;minority;option_1;15;0.11278563329168763;4;0.8929990994616489;0.6428824856230584;0.15796635595026876;binary:logistic
0.916422291948821;True;5;all;option_2;5;0.23140736383688837;5;0.9057628214687243;0.15631130922390876;5.957955076647109;binary:logistic
0.9078807127193051;True;6;all;option_3;12;0.25486491721855864;9;0.8269337519715522;0.5982455094240333;0.6538715558474277;binary:logistic
0.9123649165376921;True;5;all;option_3;8;0.22694852526950238;7;0.9647341896298761;0.23495270513421068;0.1828188688144858;binary:logistic
0.9019021776103979;True;6;minority;option_1;7;0.10256429283571503;7;0.9848964553416889;0.13884041377099687;0.11603218989899115;binary:logistic
0.9153050317670895;True;6;all;option_2;9;0.20964778795658595;3;0.9349091597088689;0.37859795708029;0.3929492309094893;binary:logistic
0.9073577717491909;False;5;all;option_3;8;0.05286229376611563;7;0.8967967955117319;0.1614434909637961;0.13429896400520333;binary:logistic
